Slug,Prompt
eleanor-vale,"A high-quality, professional 3D video game character render of a 52-year-old British White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
mateo-ionescu,"A high-quality, professional 3D video game character render of a 32-year-old Romanian White male film director, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
calvin-stroud,"A high-quality, professional 3D video game character render of a 60-year-old American White male film director, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
nadia-serrano,"A high-quality, professional 3D video game character render of a 48-year-old Spanish Latino female film director, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
rina-matsuda,"A high-quality, professional 3D video game character render of a 30-year-old Japanese Asian female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
jonah-pike,"A high-quality, professional 3D video game character render of a 54-year-old Canadian White male film director, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
selma-korovin,"A high-quality, professional 3D video game character render of a 57-year-old Polish White female film director, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
maris-quinlan,"A high-quality, professional 3D video game character render of a 37-year-old Irish White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
dante-vero,"A high-quality, professional 3D video game character render of a 45-year-old Italian White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
imani-brooks,"A high-quality, professional 3D video game character render of a 42-year-old American Black female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
